text,label
– Мы должны и драться до,0
Но дело становилось к спеху. Канонада,0
– Ежели бы это и стоило,0
На комоде лежала какая-то книга. Он,1
"— Всё исполнишь? — спросил он,",1
"— Потом он сказал, что он",1
"— А насчет этих клубов, Дюссотов,",1
"Как бы счастлив был Ростов, ежели",0
"— Ка-а-к! — вскрикнула вдруг, опомнившись,",1
"– Vous savez, que je ne",0
О бреде он произнес особенно внушительно.,1
— Как попали! Как попали? —,1
"Элен улыбнулась с таким видом, который",0
"— И зачем, зачем вам уезжать!",1
Дворник стоял у дверей своей каморки,1
"Старуха взглянула было на заклад, но",1
"– Страсть, братец ты мой, что",0
– Что? – сказал командир.,0
— Так что ж? Так что,1
"— Если надо и, знаете, даже",1
"В темноте как будто текла невидимая,",0
"– Ну, что, Михайла Иванович, Буонапарте",0
"Он съел немного, без аппетита, ложки",1
Из за оглушающих со всех сторон,0
В эту минуту как будто что-то,1
"Он вышел, и звонкий, но негромкий",0
— Прощай! — сказал он вдруг,1
"– Хорошо, хорошо, – сказал он",0
"– Сейчас, сейчас. Эй, кто там?",0
"– Моя жена, – продолжал князь",0
— Пе-туш-ка? Вы изволили сказать: пе-туш-ка?,1
"– Ничего, всё то же; я",0
— Ты его видел? — спросил,1
"– Я слишком хорошо вас узнаю,",0
Но будет болтать. Кончаю мой второй,0
"– Вы всё так, бросите куда,",0
"– Ну, что, казак мой? (Марья",0
— Секи до смерти! — кричит,1
"– Врешь, врешь, – закричал старик,",0
Уже близко становились французы; уже князь,0
"— Плохо рассчитываете, — перебил Раскольников.",1
"Проезжая между тех же рот, которые",0
– Слушаю с.,0
В полном отчаянии пошел он им,1
"– Не могу донести вашему величеству,",0
"– Вы, кажется, про Шенграбенское дело",0
"— Нет, ты стой; я тебе",1
"— Ну, так брось ее!",1
Раскольникову давно уже хотелось уйти; помочь,1
"— Так точно-с, так-с; заместо матери-с,",1
— А... уж и этот... А,1
"– Что, мой друг?",0
— В какое путешествие?,1
Парень снова посмотрел на Раскольникова.,1
"Покончив с этим, он просунул пальцы",1
"— Родион Романович, батюшка! Извините-с, —",1
"– Потому и не начинаю, государь,",0
"— Ничего, я приду, я буду",1
"– Вот так по хранцузски, –",0
"– Я думала, не случилось ли",0
"В столовой, громадно высокой, как и",0
– Кто по средине моста бежит?,0
– Я за Долохова! – кричал,0
— Зачем? Зачем вы это! —,1
"– Ну, что ж, правда, что",0
И она целовала ее в голову.,0
— Ничего! — в сердцах отвечал,1
Болконский пожал плечами.,0
– Каково? в первую линию попали!,0
"— Бредит! — закричал хмельной Разумихин,",1
— Закладчиков допрашивает? — громко спросил,1
– Вот на походе не в,0
"— Известно, пьяным представится да нарочно",1
"Друзья молчали. Ни тот, ни другой",0
"— Да-с, не дослушала-с, — пробормотала",1
Голубые ясные глаза смотрели на главнокомандующего,0
«Тут и сам станешь юродивым! Заразительно!»,1
«Tout Moscou ne parle que guerre.,0
"– Нет, пятьдесят, – сказал англичанин.",0
"— Нет-с, это ведь я так",1
— Не знаю. Всё завтра утром...,1
"«Выпускала сокола да из правого рукава»,",0
"Всего было двое работников, оба молодые",1
— Ушки на макушке?,1
"— Ну, кто ж это был?",1
"– Attendez moi, je vais prendre",0
"Граф танцовал хорошо и знал это,",0
— Это тебя я не узнавал,1
На заре 17 го числа в,0
"– Ваше сиятельство, я полагал…",0
"Он был до того худо одет,",1
Маленькая княгиня не слыхала или не,0
— Ну вот и славно! —,1
"– Ну да, и вы наговорили",0
"— Свинья! — отозвался, не оборачиваясь,",1
"– Закидана, ваше сиятельство; простите, ради",0
– Государь! Государь! – вдруг послышалось,0
— Убил непременно закладчик! — утвердительно,1
— А чайку?,1
"— А осмелюсь ли, милостивый государь",1
"— Ах, нет, Петр Петрович, мы",1
— Ба! да и ты... с,1
"Седой камердинер сидел, дремля и прислушиваясь",0
— Да ведь он бы тебе,1
— А в остальных ста рублях,1
— И больно он ее избил?,1
— Если бы только толчок ему,1
— С какого времени сюда ходишь?,1
– Здесь велят прогнать вас и,0
Все отступили. Исповедь длилась очень недолго.,1
"– Князь Ауэрсперг стоит на этой,",0
— Что ж удивительного? Обыкновенный социальный,1
— Да вы чему смеетесь? Вы,1
"– Ишь, задышала опять, задышала, –",0
"Они уже стояли перед последнею лестницей,",1
"Вопреки словам Билибина, известие, привезенное им,",0
— Коротко и ясно.,1
"Вследствие этого страшного гула, шума, потребности",0
"В сенях Денисов, с трубкой, скорчившись",0
"— Так, так... что ж, вы",1
"– Не правда ли, она восхитительна?",0
"– Едва ли, – сказал Багратион,",0
"– Ах, снимите эти… как эти…",0
"Государь еще сказал что то, чего",0
Находившиеся в слабо освещенной комнате неровным,0
– Гм… эта excellence мальчишка… я,0
Молодой император не мог воздержаться от,0
"– Теперь, князь, ни повозок, ничего",0
"– Да, меня совсем иначе воспитывали,",0
И оба приятеля рассказывали друг другу,0
Княгиня говорила без умолку. Короткая верхняя,0
– Вот еще какой то Ключ,0
"– О, нет! Она очень милая",0
"«Ну, так и есть, – подумал",0
— Денег? Вот тебе на! Да,1
– Вы заслужили георгиевские знамена и,0
— Стойте! — закричал опять молодой,1
– Ежели бы все воевали только,0
"– В мозаиковом портфеле, который он",0
Князь Андрей вопросительно посмотрел на своего,0
"— Как, разве я не рассказывал?",1
"— Да, да, приду, конечно, конечно...",1
— Како от хозяйки!,1
"Представить счастливо себе,",0
"— Надеюсь, путешествие прошло благополучно? —",1
"– Князь, то, что я сказала,",0
"— Фу, как ты глуп иногда!",1
Вид этого человека с первого взгляда,1
"– Нездоровы, брат, бывают только дураки",0
"Раскольников вышел. Он еще мог расслышать,",1
Государь пристально и внимательно посмотрел в,0
Раскольников засмеялся.,1
"— Да-с, хорошо-с... Бог вас за",1
"— Конечно, она недостойна жить, —",1
"— Ну, так что ж этот",1
"– Но расскажите, как он, что?",0
"Ростов, краснея и бледнея, смотрел то",0
11 го октября 1805 года один,0
"— Книга-с, вот-с.",1
— Так вы ее любите?,1
"– Я думаю, что сражение будет",0
"«Верно, наш пленный… Да. Неужели и",0
"В эту минуту из сеней, сквозь",1
"Сам Ростов, завалив назад ноги и",0
"– Куда, чорт, подвертки запихал? –",0
"Петр Петрович, разменявший для каких-то причин",1
— Родя! — вскричала Пульхерия Александровна.,1
— Да.,1
"– Однако денег вам порядочно прислали,",0
Князь Василий обернулся к ней.,0
— Бог милостив; надейтесь на помощь,1
"– Charmant, [Очаровательно,] – сказал Болконский,",0
Маленькая княгиня очень переменилась. Она скорее,0
"– А вот не спросишь, –",0
У Сони промелькнула было мысль: «Не,1
"«Да, очень может быть, завтра убьют»,",0
– Хоть бы женщины были. А,0
– Да я не знаю… mon,0
"— Нет, вы, я вижу, не",1
"– А другой то австрияк, с",0
И он как-то вдруг опять подмигнул,1
"— Ах, боже мой, да Марфа",1
"– Madame, je crains pour mes",0
– Я у вас спрашиваю. Я,0
"— Да-да-да! Не беспокойтесь! Время терпит,",1
— Что такое? — вскричал Порфирий,1
"– Je suis un homme fini,",0
"«Понимаете ли, понимаете ли вы, милостивый",1
"Видно было, что юнкер этот уже",0
"Зовет к себе, зовет тебя!",0
"– Я потому так говорю, –",0
— Этот Раскольников там? Пришел он?,1
"— Нет, не лучше, не лучше,",1
Раскольников не успел еще совсем раскрыть,1
"Она вдруг вскочила на кадку, так",0
— Вы у Капернаумова стоите! —,1
"– Постойте, два слова. Une fois",0
"Порфирий остановился против него, подождал и",1
"– Что? – откликнулся он, не",0
— Что такое «благороднее»? Я не,1
Бледное лицо Раскольникова вспыхнуло; его как,1
"— Да садись, чего! — хохочут",1
— А зачем вскачь не шла!,1
– Что? Министр? Какой министр? Кто,0
"– И ежели, ваше сиятельство, позволите",0
– Ежели бы не моя истинная,0
У Дуни глаза блестели.,1
«Что же это? я не подвигаюсь?,0
Через час Тихон пришел звать княжну,0
"– Что врешь? Говори, что нужно.",0
"– Что ж вы не начинаете,",0
"Но, проходя мимо диванной, она заметила,",0
– Вы бы могли из прикрытия,0
Борис поморщился.,0
"— О, это уже давно! Я",1
– Будь здоров…,0
– Я одного знал: семь раз,0
– А то нет! Вовсе кривой.,0
"— Это не совсем справедливо, Пульхерия",1
В то время как проходил этот,0
"Поздно ночью, когда все разошлись, Денисов",0
– II n'est plus… [Его не,0
Le charmant Hippolyte [Очаровательный Ипполит] поражал,0
"— Вы хотите меня официально допрашивать,",1
— Господи! Да что вы это!,1
"– Что он постарел, князь Василий?",0
"Несмотря на то, что еще не",0
— То есть сесть за чужую,1
"И он быстро вышел из комнаты,",1
"Это был человек лет пятидесяти, росту",1
"– Вот тут наша батарея стоит,",0
"— Какой девицы, маменька?",1
— Удержите эту сумасшедшую! — закричал,1
"— Да може, не впору! —",1
"Два молодые человека, студент и офицер,",0
Но тем не менее ему опять-таки,1
— Как! так уж теперь рубль,1
"– Non, non, avouez que c'est",0
"– Папа, мы опоздаем, – сказала,",0
Катерина Ивановна стояла вся бледная и,1
— Я ведь в судебные следователи,1
Настасья так и покатилась со смеху.,1
"— Мое добро! — кричит Миколка,",1
"Ростов видел слезы, наполнившие глаза государя,",0
"«Бедная девочка!.. — сказал он, посмотрев",1
"L'absence, dont vous dites tant de",0
Раздался смех и даже ругательства. Смеялись,1
"– Я буду мост зажигайт, –",0
Раскольников дошел до Садовой и повернул,1
"– Да ничего, конь добрый, –",0
– Мама! какое пирожное будет? –,0
"Она робко, умоляющим взглядом смотрела на",0
Соня развернула книгу и отыскала место.,1
Но Раскольников уже выходил на улицу.,1
Лоррен задумался.,0
И Катерина Ивановна не то что,1
"— Ах, господи, да что это",1
"— А па-а-азвольте спросить, это вы",1
– Пожалуйте к чаю. Князь сейчас,0
С раннего утра начались напряженные хлопоты,0
Я не могу разделять вашего мнения,0
– Так завтра вы доложите государю?,0
– A! – сказал Кутузов. –,0
Раскольников пошевелился и хотел было что-то,1
"Вся его комната была такого размера,",1
"— Говорит, а у самого еще",1
"– Вот и спросила, – прошептала",0
— Буквально веруете?,1
— Да какая ж это правда!,1
– От генерала фельдмаршала Кутузова? –,0
"— Нет, не так, — твердо",1
"— Н-нет, — прошептала Соня.",1
Князь Багратион и Тушин одинаково упорно,0
"— Ступай один, — сказал вдруг",1
— Что такое? — крикнул с,1
"– Господин адъютант, защитите. Что ж",0
"Он тронул лошадь и, подозвав к",0
"– Кари, мала, тафа, сафи, мутер,",0
— Давно... Когда учился. Читай!,1
– Здесь на половину княжен? –,0
И в доказательство неопровержимости этого довода,0
— Это всё вздор и клевета!,1
— А уж я и не,1
"— Это уж, конечно, не мне",1
"– Я очень рад, что не",0
— А с вами что будет?,1
"– Ваше превосходительство, вы сами разрешили",0
"– Тех людей, которые всем пожертвовали",0
"Кутузов обернулся. Видно было, что офицер",0
— А это мы... выпили... Уж,1
"– Как же, ты поднял! Ишь,",0
"— Случилось мне вчера, мимоходом, перекинуть",1
На улице опять жара стояла невыносимая;,1
"Сидоров подмигнул и, обращаясь к французам,",0
"— Кажись, и генеральские дочки, а",1
"Сын, опустив глаза, спокойно шел за",0
"– Вы какой дивизии? – кричал,",0
"— Ступайте домой... с ним, —",1
"– Ну, вообще как можно больше",0
"— А если бы не документ,",1
— Вот в «ожидании-то лучшего» у,1
Но всё обошлось благополучно. Дверь в,1
"– Да что, скоро ли там?",0
– Уж не забыл ли я?,0
"— К тому-с, что в вашем",1
"Соня опять хотела было что-то сказать,",1
— Чем объяснить? — прицепился Разумихин.,1
«P.S.Donnez moi des nouvelles de votre,0
"— Полно, господа, не извольте драться",1
— Хоть бы умереть-то дали спокойно!,1
"– Ah, ma bonne, ma bonne,",0
"– Как же, полковник, – кричал",0
"Почти всё время как читал Раскольников,",1
"— Случайно-с... Мне всё кажется, что",1
"Говоря это, Свидригайлов был сам чрезвычайно",1
— Чтой-то вы уж совсем нас,1
"– Я не виноват, что разговор",0
"Государь постоял несколько секунд против гусар,",0
— Стойте! — закричал вдруг молодой,1
"— Я не знаю этого, —",1
"– Что ж, умирать, что ли,",0
"Он кликнул казака с лошадью, велел",0
"Он проснулся весь в поту, с",1
– Э! Вася! – отвечал радостно,0
— И я дрожу-с; не ожидал-с!..,1
Не то чтоб он был так,1
— С величайшим удовольствием. Прибыв сюда,1
На мгновение всё так и завертелось,1
"Пьер был неуклюж. Толстый, выше обыкновенного",0
"– Что будет через пять лет,",0
"— Нет, дело очень неясное, —",1
Мещанин не глядел на него.,1
"– Ах,сквег'но! Ну, что стоишь, чучела,",0
Штаб ротмистр Кирстен был два раза,0
– Для чего? я не знаю.,0
"— Опять говорю вам, маменька, он",1
– Ah! chere!…Ah! Marieie!… – вдруг,0
"Он хотел было улыбнуться, но что-то",1
Соня всплеснула руками.,1
— Не мучьте меня! — проговорил,1
"– А! Я очень рад буду,",0
— Если это вы мне... —,1
"— А, почтеннейший! Вот и вы...",1
"— Эх, брат, да ведь природу",1
Петр Петрович даже как будто вздрогнул.,1
"«А раба-то Родиона попросил, однако, помянуть,",1
"– Вы ранены? – спросил он,",0
"— Вот-с, батюшка: коли по гривне",1
– Вот Мари и вывозить не,0
"«Сени новые мои…», подхватили двадцать голосов,",0
"«Милый мой Родя, — писала мать,",1
"— По-моему, так прощайте!",1
– C'est bien beau ce que,0
"– Да как же, батюшка, –",0
"– Ну, ну, шучу, шучу, –",0
Князь Андрей остановился в Брюнне у,0
Он бродил по набережной Екатерининского канала,1
"– Тише, тише, разве нельзя тише?",0
"Как бы себя не помня, она",1
С полминуты оба помолчали.,1
"— Так-с; скажу-с; сейчас-с, — и",1
И он не допел еще последних,0
"— Я о деле пришел говорить,",1
— Так не можешь угадать-то? —,1
"— Секи ее, секи! Что стали!",1
"«Конечно, — пробормотал он про себя",1
"– Mon cher, voue m'avez promis,",0
"Было часов восемь, солнце заходило. Духота",1
— А чаю хочешь?,1
"– Не знаю; я думаю, коли",0
— Да про что ты? Я,1
— Запрыгает!,1
Но Борис опять перебил его:,0
Соня беспокойно ждала.,1
"Сменившись из цепи, Ростов успел соснуть",0
"Княжна видела, что отец недоброжелательно смотрел",0
"— Пропил! всё, всё пропил! —",1
"Кутузов прошел по рядам, изредка останавливаясь",0
"– На завтра! – сказал он,",0
"— Да и вы в присутствии,",1
"«Урок хорош! — думал он, холодея.",1
"Пьер прошел в дверь, ступая по",0
— Хочу.,1
"Не выпуская уже аббата и Пьера,",0
– Ah! ne me parlez pas,0
"– Я знал, что вы будете,",0
"— Черт, нечего делать, идти!",1
— Так чего ж он будет,1
"– Вот как, да, да! –",0
"— Я не помню, чтобы написал",1
— А что и в самом,1
– Я держу пари (он говорил,0
"«Обыск, обыск, сейчас обыск! — повторял",1
"– Мне много надо, граф, мне",0
"— Нет, Соня, нет, — бормотал",1
– Ничего не понимаю. В чем,0
От неловкости или умышленно (никто бы,0
Князь Андрей отвечал. После этого вопроса,0
"— Тем промышляют, почтенный, тем промышляют...",1
"— Про вас же, маменька, я",1
"— Ох, как вы мучаетесь! —",1
Он тотчас же приступил к делу,0
— Да совсем же нет! —,1
— Почему же комическая-с? — тотчас,1
Она энергично ударила на слово: четыре.,1
Дунечка покраснела; Разумихин сдвинул брови. Лужин,1
"«Началось! Вот оно!» думал князь Андрей,",0
– Ежели еще год Бонапарте останется,0
"Государь расслышал, но ответ этот, видимо,",0
— Да уж три раза приходила.,1
"— Я, милый барин, всегда с",1
Андрей Семенович даже рассердился.,1
– Что такое? – спросил Болконский.,0
Соня бросилась к дверям в испуге.,1
Свидригайлов сидел в задумчивости.,1
"Остановившись против Павлоградского полка, государь сказал",0
В начале зимы с 1805 на,0
— Петр Петрович Лужин. Я в,1
"— Извините, что я, может быть,",1
"— Впрочем, ничего такого слишком уж",1
"– А… – сказал Кутузов, оглядываясь",0
«Экой ведь наивный дурак!»,1
"Что и она, рукой прекрасной,",0
"— А где работаем. «Зачем, дескать,",1
"— Да, готовился...",1
"Князь Андрей усмехнулся, прямо глядя в",0
"Выглядывая скамейку, он заметил впереди себя,",1
— Да что вы все такие,1
"— Милостивый государь, — начал он",1
Жюли писала:,0
— Почему ж я знаю? Знаю,1
— Ты разве читал?,1
"– Благодарю всех, господа, все части",0
"Раскольников был в чрезвычайном волнении. Конечно,",1
– Куда?,0
"– Я только говорю одно, генерал,",0
– Прежде всего пей.,0
"Быть энтузиасткой сделалось ее общественным положением,",0
— Чайку пожалуй.,1
Она не выдержала и вдруг горько,1
"— А, идут! — вскричал Раскольников,",1
Она села. Он приветливо и почти,1
— Что такое? где? что?.. —,1
"– Bonjour, ma chere, je vous",0
"— А меня прислала сестрица Соня,",1
На улице стали в воротах.,1
— Лжете вы всё! — вскричал,1
"– Я ничего не говорил тебе,",0
"Он стоял, смотрел и не верил",1
"— Бесчувственный, злобный эгоист! — вскрикнула",1
"– Не шучу, – продолжал Билибин,",0
Он вошел в эту комнату (четвертую,1
"– Славно идут, – сказал кто",0
"– Ma chere, il y a",0
"— Знаешь, Дунечка, как только я",1
"— Воля твоя, я пойду за",1
"Анна Павловна Шерер, так же как",0
"Раскольников сел, не сводя с него",1
"Солдат в движении так же окружен,",0
"– Вот видите ли, моя милая",0
Болконский только старался не отставать от,0
Князь Андрей велел остановиться и спросил,0
"– Ну что, мой милый, всё",0
"— Пройдите, батюшка.",1
"– Насилу спасли этого несчастного, –",0
Раскольников приподнялся и сел на диване.,1
"– Я предполагал построиться за деревней,",0
"— Вижу, брат, — проговорил он",1
"— Боже мой, Дунечка, что это",1
"Возвращаясь домой, князь Андрей не мог",0
"В четвертом часу вечера князь Андрей,",0
"– Да, ежели бы он, взяв",0
"— Которые так дорого вам достались,",1
— Что руки-то дрогнули? — подхватил,1
– Борис! – сказала она сыну,0
"— Найди и прочти мне, —",1
— Вы так и знали? —,1
"Она встала и оправила волосы, которые",0
Раскольников даже головы не повернул. Петр,1
"— Я лгу? — подхватил Порфирий,",1
"— Он едва на ногах стоит,",1
— Давно ли увидели?,1
"– Об одном прошу, ваше высокопревосходительство,",0
Дуня смотрела на брата с недоверчивым,1
"– Послушайте, князь, – сказала она,",0
"— Надоели они мне очень вчера,",1
"Полковому командиру так хотелось сделать это,",0
